c_file_name,category,error_type,llm_name,num_parameters,num_lines,cyclomatic_complexity
6109.c,VULNERABLE,dereference failure: NULL pointer,llama2,13.0,63,2.333
24107.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,55,1.667
74967.c,VULNERABLE,arithmetic overflow on sub,gpt35,,107,6.0
15468.c,VULNERABLE,array bounds violated: upper bound,llama2,13.0,56,9.0
12779.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,74,6.0
33595.c,NON-VULNERABLE,,falcon,180.0,69,5.5
66899.c,VULNERABLE,arithmetic overflow on add,gpt35,,232,4.125
35740.c,UNKNOWN (time out),,gemma,7.0,98,19.0
9189.c,VULNERABLE,array bounds violated: upper bound,gemini_pro,,136,6.0
12125.c,VULNERABLE,array bounds violated: upper bound,gpt35,,78,5.0
30078.c,PARSING ERROR,,gemma,7.0,54,2.333
1902.c,PARSING ERROR,,falcon2,11.0,59,1.0
20634.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,147,4.0
2171.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,84,3.0
62955.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,109,11.0
70826.c,VULNERABLE,buffer overflow on scanf,gpt35,,165,3.833
8251.c,UNKNOWN (time out),,gpt4o_mini,,98,3.6
44888.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,52,2.75
27154.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,187,3.273
2368.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,136,2.833
39825.c,VULNERABLE,arithmetic overflow on mul,gpt4o_mini,,102,3.0
13172.c,NON-VULNERABLE,,gemini_pro,,96,1.6
10245.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,143,2.167
48612.c,VULNERABLE,buffer overflow on scanf,gpt35,,89,11.0
7315.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,151,5.0
494.c,VULNERABLE,buffer overflow on scanf,gpt35,,62,7.0
22141.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,76,3.0
48685.c,VULNERABLE,buffer overflow on scanf,gpt35,,168,4.167
3139.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,91,3.5
3447.c,UNKNOWN (time out),,mistral,7.0,115,3.25
76747.c,VULNERABLE,dereference failure: invalid pointer,gpt35,,79,6.0
13429.c,VULNERABLE,buffer overflow on scanf,gpt35,,126,1.333
29637.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,146,2.4
16598.c,VULNERABLE,buffer overflow on scanf,gpt4o_mini,,55,2.667
67032.c,VULNERABLE,arithmetic overflow on sub,gpt35,,122,7.0
25697.c,UNKNOWN (time out),,falcon,180.0,76,4.5
11329.c,VULNERABLE,arithmetic overflow on sub,gemma,7.0,56,3.0
212.c,UNKNOWN (time out),,gpt35,,55,10.0
47533.c,VULNERABLE,buffer overflow on scanf,gpt35,,120,4.667
5379.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,84,2.25
60964.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,52,3.5
10065.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,60,2.0
2665.c,UNKNOWN (time out),,gpt4o_mini,,54,2.25
74010.c,VULNERABLE,buffer overflow on scanf,gpt35,,238,4.333
33415.c,VULNERABLE,buffer overflow on scanf,gemma,7.0,88,14.0
48835.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,81,2.5
1302.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,75,4.0
75033.c,VULNERABLE,buffer overflow on scanf,gpt35,,94,16.0
61341.c,VULNERABLE,dereference failure: array bounds violated,falcon,180.0,83,4.333
56904.c,VULNERABLE,buffer overflow on scanf,gpt35,,60,2.667
57890.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,112,3.25
58333.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,113,1.833
36341.c,NON-VULNERABLE,,gemma,7.0,84,2.0
7416.c,VULNERABLE,arithmetic overflow on floating-point ieee_div,gpt4o_mini,,161,2.667
5432.c,VULNERABLE,dereference failure: array bounds violated,falcon2,11.0,56,2.0
17209.c,VULNERABLE,buffer overflow on scanf,falcon,180.0,101,3.0
40233.c,VULNERABLE,buffer overflow on scanf,gpt35,,56,3.0
20598.c,VULNERABLE,buffer overflow on scanf,gemini_pro,,107,1.143
45576.c,VULNERABLE,arithmetic overflow on sub,gpt35,,51,2.0
19276.c,VULNERABLE,dereference failure: accessed expired variable pointer,falcon,180.0,82,4.0
20695.c,VULNERABLE,buffer overflow on scanf,gpt35,,94,3.25
38986.c,VULNERABLE,dereference failure: NULL pointer,gemini_pro,,108,3.25
3802.c,VULNERABLE,dereference failure: NULL pointer,gemma,7.0,51,3.667
39068.c,UNKNOWN (time out),,gemini_pro,,58,3.0
77327.c,VULNERABLE,buffer overflow on scanf,gpt35,,71,6.0
69187.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,67,2.25
6741.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,60,5.0
27401.c,VULNERABLE,dereference failure: NULL pointer,gpt4o_mini,,155,4.833
1417.c,UNKNOWN (time out),,gpt35,,81,7.5
39710.c,VULNERABLE,buffer overflow on scanf,gpt35,,112,12.0
27109.c,VULNERABLE,dereference failure: invalid pointer,falcon,180.0,51,2.0
55881.c,VULNERABLE,arithmetic overflow on add,gpt35,,410,4.923
5843.c,UNKNOWN (time out),,falcon2,11.0,79,8.0
60658.c,VULNERABLE,buffer overflow on scanf,gpt35,,166,9.2
7859.c,VULNERABLE,array bounds violated: upper bound,mistral,7.0,74,5.0
18397.c,VULNERABLE,dereference failure: invalid pointer,llama2,13.0,79,2.4
48367.c,VULNERABLE,dereference failure: NULL pointer,falcon,180.0,69,3.0
16745.c,VULNERABLE,buffer overflow on sscanf,gpt4o_mini,,88,5.333
62232.c,VULNERABLE,buffer overflow on scanf,gpt35,,77,9.0
44431.c,VULNERABLE,buffer overflow on scanf,gpt35,,92,14.0
42523.c,VULNERABLE,dereference failure: NULL pointer,gpt35,,89,3.0
44339.c,VULNERABLE,buffer overflow on scanf,gpt35,,87,5.0
21656.c,UNKNOWN (time out),,falcon,180.0,77,8.0
7011.c,VULNERABLE,dereference failure: NULL pointer,mistral,7.0,71,3.0
10737.c,UNKNOWN (time out),,gemma,7.0,54,9.0
31652.c,VULNERABLE,VLA array size in bytes overflows address space size,gpt35,,94,3.8
